ID,LABEL
391749,1
391750,1
391751,0
391752,0
391753,1
391754,1
391755,1
391756,1
391757,1
391758,1
391759,1
391760,1
391761,1
391762,0
391763,0
391764,1
391765,1
391766,1
391767,1
391768,0
391769,1
391770,0
391771,1
391772,1
391773,1
391774,1
391775,1
391776,1
391777,1
391778,1
391779,1
391780,1
391781,0
391782,1
391783,1
391784,1
391785,1
391786,1
391787,1
391788,0
391789,1
391790,0
391791,0
391792,0
391793,1
391794,0
391795,1
391796,1
391797,1
391798,0
391799,1
391800,1
391801,1
391802,1
391803,0
391804,1
391805,1
391806,0
391807,0
391808,1
391809,0
391810,0
391811,0
391812,0
391813,0
391814,0
391815,1
391816,0
391817,0
391818,0
391819,0
391820,0
391821,0
391822,0
391823,1
391824,1
391825,1
391826,1
391827,0
391828,0
391829,1
391830,1
391831,1
391832,1
391833,0
391834,0
391835,1
391836,1
391837,1
391838,1
391839,1
391840,0
391841,1
391842,0
391843,1
391844,0
391845,0
391846,0
391847,1
391848,0
391849,1
391850,0
391851,1
391852,1
391853,0
391854,1
391855,1
391856,1
391857,1
391858,0
391859,0
391860,1
391861,1
391862,1
391863,0
391864,0
391865,0
391866,1
391867,0
391868,0
391869,1
391870,0
391871,1
391872,1
391873,1
391874,1
391875,0
391876,1
391877,1
391878,0
391879,0
391880,0
391881,0
391882,0
391883,0
391884,1
391885,1
391886,0
391887,0
391888,0
391889,1
391890,0
391891,0
391892,1
391893,1
391894,0
391895,0
391896,1
391897,0
391898,1
391899,1
391900,1
391901,1
391902,1
391903,0
391904,1
391905,1
391906,0
391907,1
391908,0
391909,0
391910,1
391911,1
391912,1
391913,1
391914,1
391915,0
391916,1
391917,1
391918,1
391919,1
391920,0
391921,1
391922,1
391923,0
391924,0
391925,1
391926,1
391927,0
391928,0
391929,1
391930,0
391931,0
391932,0
391933,1
391934,0
391935,0
391936,1
391937,0
391938,1
391939,1
391940,0
391941,0
391942,0
391943,1
391944,0
391945,1
391946,1
391947,1
391948,0
391949,1
391950,1
391951,1
391952,1
391953,1
391954,0
391955,0
391956,0
391957,0
391958,0
391959,0
391960,0
391961,0
391962,1
391963,1
391964,0
391965,0
391966,0
391967,1
391968,0
391969,1
391970,1
391971,0
391972,0
391973,1
391974,0
391975,0
391976,0
391977,0
391978,1
391979,1
391980,1
391981,0
391982,0
391983,0
391984,1
391985,0
391986,0
391987,0
391988,0
391989,0
391990,0
391991,0
391992,0
391993,0
391994,0
391995,1
391996,1
391997,0
391998,0
391999,0
392000,0
392001,0
392002,0
392003,0
392004,0
392005,1
392006,0
392007,0
392008,0
392009,0
392010,0
392011,0
392012,0
392013,0
392014,1
392015,1
392016,0
392017,0
392018,0
392019,0
392020,0
392021,0
392022,0
392023,0
392024,1
392025,0
392026,0
392027,0
392028,0
392029,0
392030,0
392031,0
392032,0
392033,0
392034,1
392035,0
392036,1
392037,0
392038,1
392039,1
392040,0
392041,0
392042,1
392043,0
392044,0
392045,0
392046,0
392047,1
392048,0
392049,0
392050,0
392051,1
392052,0
392053,1
392054,0
392055,1
392056,0
392057,0
392058,0
392059,0
392060,1
392061,0
392062,0
392063,1
392064,1
392065,0
392066,0
392067,0
392068,1
392069,0
392070,0
392071,0
392072,0
392073,1
392074,0
392075,0
392076,0
392077,0
392078,0
392079,0
392080,0
392081,0
392082,0
392083,0
392084,0
392085,0
392086,0
392087,1
392088,1
392089,1
392090,1
392091,1
392092,1
392093,1
392094,0
392095,1
392096,1
392097,1
392098,1
392099,1
392100,0
392101,1
392102,1
392103,1
392104,1
392105,0
392106,1
392107,0
392108,0
392109,0
392110,0
392111,0
392112,0
392113,1
392114,0
392115,0
392116,1
392117,1
392118,1
392119,0
392120,1
392121,0
392122,0
392123,1
392124,1
392125,1
392126,1
392127,0
392128,0
392129,1
392130,0
392131,0
392132,1
392133,0
392134,1
392135,0
392136,0
392137,0
392138,1
392139,1
392140,1
392141,1
392142,0
392143,1
392144,1
392145,0
392146,1
392147,0
392148,0
392149,0
392150,1
392151,0
392152,1
392153,0
392154,1
392155,1
392156,0
392157,0
392158,0
392159,0
392160,0
392161,1
392162,1
392163,1
392164,0
392165,0
392166,0
